timestamp,connected_clients,cpu_percent,memory_mb,throughput_msgs_per_sec,avg_delay_ms
15:16:49,0,0.0,20.65,0,
15:16:50,0,0.0,20.73,0,
15:16:51,0,0.0,20.73,0,
15:16:52,0,0.0,20.73,0,
15:16:53,0,0.0,20.73,0,
15:16:54,0,0.0,20.73,0,
15:16:55,0,0.0,20.73,0,
15:16:56,0,0.0,20.73,0,
15:16:57,0,0.0,20.73,0,
15:16:58,0,0.0,20.73,0,
15:16:59,0,0.0,20.73,0,
15:17:00,0,0.0,20.73,0,
15:17:01,0,0.0,20.75,1,
15:17:02,1,0.0,20.75,0,
15:17:03,1,0.0,20.75,0,0.16
15:17:04,1,0.0,20.75,0,
15:17:05,1,0.0,20.75,0,
15:17:06,1,0.0,20.75,0,
15:17:07,1,0.0,20.75,0,
15:17:08,1,0.0,20.75,0,
15:17:09,1,0.0,20.75,0,
15:17:10,1,0.0,20.75,0,
15:17:11,1,0.0,20.78,2,
15:17:12,2,0.0,20.78,0,
15:17:13,2,0.0,20.78,0,
15:17:14,2,0.0,20.78,0,
15:17:15,2,0.0,20.78,0,
15:17:16,2,0.0,20.78,0,
15:17:17,2,0.0,20.78,0,
15:17:18,2,0.0,20.78,0,0.16
15:17:19,2,0.0,20.78,0,
15:17:20,2,0.0,20.78,0,
15:17:21,2,0.0,20.78,0,
15:17:22,2,0.0,20.78,0,
15:17:23,2,0.0,20.78,0,
15:17:24,2,0.0,20.78,0,
15:17:25,2,0.0,20.78,0,
15:17:26,2,0.0,20.78,0,
15:17:27,2,0.0,20.78,0,
15:17:28,2,0.0,20.78,0,
15:17:29,2,0.0,20.78,0,
15:17:30,2,0.0,20.78,0,
15:17:31,2,0.0,20.78,0,
15:17:32,2,0.0,20.78,0,
15:17:33,2,0.0,20.78,0,0.34
15:17:34,2,0.0,20.78,0,
15:17:35,2,0.0,20.78,0,
15:17:36,2,0.0,20.78,0,
15:17:37,2,0.0,20.78,0,
15:17:38,2,0.0,20.78,0,
15:17:39,2,0.0,20.78,0,
15:17:40,2,0.0,20.78,0,
15:17:41,2,0.0,20.78,0,
15:17:42,2,0.0,20.8,3,
15:17:43,3,0.0,20.8,0,
15:17:44,3,0.0,20.81,0,
15:17:45,3,0.0,20.81,0,
15:17:46,3,0.0,20.81,0,
15:17:47,3,0.0,20.81,0,
15:17:48,3,0.0,20.81,0,0.15
15:17:49,3,0.0,20.81,0,
15:17:50,3,0.0,20.81,0,
15:17:51,3,0.0,20.81,0,
15:17:52,3,0.0,20.81,0,
15:17:53,3,0.0,20.81,0,
15:17:54,3,0.0,20.81,0,
15:17:55,3,0.0,20.81,0,
15:17:56,3,0.0,20.81,0,
15:17:57,3,0.0,20.81,0,
15:17:58,3,0.0,20.81,0,
15:17:59,3,1.0,20.81,0,
15:18:00,3,0.0,20.81,0,
15:18:01,3,0.0,20.81,0,
15:18:02,3,0.0,20.81,0,
15:18:03,3,0.0,20.81,0,0.37
15:18:04,3,0.0,20.81,0,
15:18:05,3,0.0,20.81,0,
15:18:06,3,0.0,20.81,0,
15:18:08,3,0.0,20.81,0,
15:18:09,3,0.0,20.81,0,
15:18:10,3,0.0,20.84,4,
15:18:11,4,0.0,20.84,0,
15:18:12,4,0.0,20.84,0,
15:18:13,4,0.0,20.84,0,
15:18:14,4,0.0,20.84,0,
15:18:15,4,0.0,20.84,0,
15:18:16,4,0.0,20.84,0,
15:18:17,4,0.0,20.84,0,
15:18:18,4,0.0,20.84,0,
15:18:19,4,0.0,20.84,0,0.33
15:18:20,4,0.0,20.84,0,
15:18:21,4,0.0,20.84,0,
15:18:22,4,0.0,20.84,0,
15:18:23,4,0.0,20.86,5,
15:18:24,5,0.0,20.86,0,
15:18:25,5,0.0,20.86,0,
15:18:26,5,0.0,20.86,1,
15:18:27,5,1.0,20.86,0,
15:18:28,5,0.0,20.86,0,
15:18:29,5,0.0,20.86,0,
15:18:30,5,0.0,20.87,1,
15:18:31,5,0.0,20.87,0,
15:18:32,5,0.0,20.87,0,
15:18:33,5,0.0,20.87,0,
15:18:34,5,0.0,20.87,0,0.21
15:18:35,5,0.0,20.87,0,
15:18:36,5,0.0,20.87,0,
15:18:37,5,0.0,20.87,0,
15:18:38,5,0.0,20.87,0,
15:18:39,5,0.0,20.88,1,
15:18:40,5,0.0,20.88,0,
15:18:41,5,0.0,20.88,0,
15:18:42,5,0.0,20.88,0,
15:18:43,5,0.0,20.88,0,
15:18:44,5,0.0,20.88,0,
15:18:45,5,0.0,20.89,1,
15:18:46,5,0.0,20.89,0,
15:18:47,5,0.0,20.89,0,
15:18:48,5,0.0,20.89,0,
15:18:49,5,0.0,20.89,0,0.72
15:18:50,5,0.0,20.89,0,
15:18:51,5,0.0,20.89,0,
15:18:52,5,0.0,20.89,1,
15:18:53,5,0.0,20.89,0,
15:18:54,5,0.0,20.89,0,
15:18:55,5,0.0,20.89,0,
15:18:56,5,0.0,20.89,0,
15:18:57,5,0.0,20.89,1,
15:18:58,5,1.0,20.89,0,
15:18:59,5,0.0,20.89,0,
15:19:00,5,0.0,20.89,0,
15:19:01,5,0.0,20.89,0,
15:19:02,5,0.0,20.89,0,
15:19:03,5,0.0,20.89,0,
15:19:04,5,0.0,20.89,0,0.36
15:19:05,5,0.0,20.89,0,
15:19:06,5,0.0,20.89,1,
15:19:07,5,0.0,20.89,0,
15:19:08,5,0.0,20.89,0,
15:19:09,5,0.0,20.89,0,
15:19:10,5,0.0,20.89,0,
15:19:11,5,0.0,20.89,0,
15:19:12,5,0.0,20.89,0,
15:19:13,5,0.0,20.89,0,
15:19:14,5,0.0,20.89,0,
15:19:15,5,0.0,20.89,0,
15:19:16,5,0.0,20.89,0,
