[2026-07-21 01:10:08] USER_REGISTERED | user=suvo | ip=10.0.0.2 | 
[2026-07-21 01:10:42] USER_REGISTERED | user=neel | ip=10.0.0.3 | 
[2026-07-21 01:11:18] USER_REGISTERED | user=vishal | ip=10.0.0.4 | 
[2026-07-21 01:11:45] USER_REGISTERED | user=rahul | ip=10.0.0.5 | 
[2026-07-21 01:12:15] USER_REGISTERED | user=user6 | ip=10.0.0.6 | 
[2026-07-21 01:12:30] USER_REGISTERED | user=user7 | ip=10.0.0.7 | 
[2026-07-21 01:13:19] USER_REGISTERED | user=user8 | ip=10.0.0.8 | 
[2026-07-21 01:13:38] USER_REGISTERED | user=user9 | ip=10.0.0.9 | 
[2026-07-21 01:14:19] USER_REGISTERED | user=user10 | ip=10.0.0.10 | 
[2026-07-21 01:14:41] USER_REGISTERED | user=user5 | ip=10.0.0.11 | 
[2026-07-21 01:17:38] CLIENT_REMOVED | user=user10 | ip=10.0.0.10 | handler exit
[2026-07-21 01:35:17] CLIENT_REMOVED | user=user9 | ip=10.0.0.9 | handler exit
[2026-07-21 01:35:53] CLIENT_REMOVED | user=user8 | ip=10.0.0.8 | handler exit
[2026-07-21 01:35:59] CLIENT_REMOVED | user=user7 | ip=10.0.0.7 | handler exit
[2026-07-21 01:36:03] CLIENT_REMOVED | user=user6 | ip=10.0.0.6 | handler exit
[2026-07-21 01:37:51] LOGOUT | user=user5 | ip=10.0.0.11 | 
[2026-07-21 01:37:51] CLIENT_REMOVED | user=user5 | ip=10.0.0.11 | handler exit
[2026-07-21 01:37:54] LOGIN_SUCCESS | user=user5 | ip=10.0.0.11 | 
[2026-07-21 01:45:31] LOGOUT | user=user5 | ip=10.0.0.11 | 
[2026-07-21 01:45:31] CLIENT_REMOVED | user=user5 | ip=10.0.0.11 | handler exit
[2026-07-21 01:45:34] LOGIN_SUCCESS | user=user5 | ip=10.0.0.11 | 
[2026-07-21 01:47:20] CLIENT_REMOVED | user=user5 | ip=10.0.0.11 | handler exit
[2026-07-21 01:47:24] CLIENT_REMOVED | user=rahul | ip=10.0.0.5 | handler exit
[2026-07-21 02:10:35] SESSION_TIMEOUT | user=neel | ip=10.0.0.3 | 
[2026-07-21 02:10:35] CLIENT_REMOVED | user=neel | ip=10.0.0.3 | handler exit
[2026-07-21 02:10:35] SESSION_TIMEOUT | user=vishal | ip=10.0.0.4 | 
[2026-07-21 02:10:35] SESSION_TIMEOUT | user=suvo | ip=10.0.0.2 | 
[2026-07-21 02:10:36] CLIENT_REMOVED | user=vishal | ip=10.0.0.4 | handler exit
[2026-07-21 02:10:36] CLIENT_REMOVED | user=suvo | ip=10.0.0.2 | heartbeat timeout - no response
[2026-07-21 02:10:39] LOGIN_SUCCESS | user=neel | ip=10.0.0.3 | 
[2026-07-21 02:10:39] LOGIN_SUCCESS | user=suvo | ip=10.0.0.2 | 
[2026-07-21 02:10:39] LOGIN_SUCCESS | user=vishal | ip=10.0.0.4 | 
[2026-07-21 02:11:35] CLIENT_REMOVED | user=vishal | ip=10.0.0.4 | handler exit
[2026-07-21 02:11:46] LOGIN_SUCCESS | user=rahul | ip=10.0.0.4 | 
[2026-07-21 08:34:15] LOGIN_SUCCESS | user=suvo | ip=10.0.0.2 | 
[2026-07-21 08:35:25] LOGIN_SUCCESS | user=neel | ip=10.0.0.3 | 
[2026-07-21 08:35:46] LOGIN_SUCCESS | user=rahul | ip=10.0.0.4 | 
[2026-07-21 08:37:39] LOGIN_SUCCESS | user=vishal | ip=10.0.0.5 | 
[2026-07-21 08:38:00] FAILED_LOGIN | user=user5 | ip=10.0.0.6 | 
[2026-07-21 08:38:12] LOGIN_SUCCESS | user=user5 | ip=10.0.0.6 | 
[2026-07-21 08:38:21] CLIENT_REMOVED | user=user5 | ip=10.0.0.6 | handler exit
[2026-07-21 08:41:44] CLIENT_REMOVED | user=vishal | ip=10.0.0.5 | handler exit
[2026-07-21 08:42:19] LOGIN_SUCCESS | user=vishal | ip=10.0.0.5 | 
[2026-07-21 08:45:41] CLIENT_REMOVED | user=suvo | ip=10.0.0.2 | server shutdown
[2026-07-21 08:45:41] CLIENT_REMOVED | user=rahul | ip=10.0.0.4 | handler exit
[2026-07-21 08:45:41] CONNECTION_ERROR | user=suvo | ip=10.0.0.2 | [Errno 9] Bad file descriptor
[2026-07-21 08:45:41] CLIENT_REMOVED | user=neel | ip=10.0.0.3 | handler exit
[2026-07-21 08:45:41] CLIENT_REMOVED | user=vishal | ip=10.0.0.5 | handler exit
[2026-07-21 08:47:25] LOGIN_SUCCESS | user=suvo | ip=10.0.0.2 | 
[2026-07-21 08:47:50] LOGIN_SUCCESS | user=neel | ip=10.0.0.3 | 
[2026-07-21 08:48:07] FAILED_LOGIN | user=rahul | ip=10.0.0.4 | 
[2026-07-21 08:48:19] LOGIN_SUCCESS | user=rahul | ip=10.0.0.4 | 
[2026-07-21 08:48:34] LOGIN_SUCCESS | user=vishal | ip=10.0.0.5 | 
[2026-07-21 08:49:03] LOGIN_SUCCESS | user=user5 | ip=10.0.0.7 | 
[2026-07-21 08:49:16] CLIENT_REMOVED | user=user5 | ip=10.0.0.7 | handler exit
[2026-07-21 14:01:22] LOGIN_SUCCESS | user=suvo | ip=10.0.0.2 | 
[2026-07-21 14:01:37] LOGIN_SUCCESS | user=neel | ip=10.0.0.3 | 
[2026-07-21 14:01:47] LOGIN_SUCCESS | user=vishal | ip=10.0.0.4 | 
[2026-07-21 14:02:02] LOGIN_SUCCESS | user=rahul | ip=10.0.0.5 | 
[2026-07-21 14:02:18] LOGIN_SUCCESS | user=user5 | ip=10.0.0.6 | 
[2026-07-21 14:05:12] LOGIN_SUCCESS | user=suvo | ip=10.0.0.2 | 
[2026-07-21 14:05:25] LOGIN_SUCCESS | user=neel | ip=10.0.0.3 | 
[2026-07-21 14:05:43] LOGIN_SUCCESS | user=vishal | ip=10.0.0.4 | 
[2026-07-21 14:06:07] LOGIN_SUCCESS | user=rahul | ip=10.0.0.5 | 
[2026-07-21 14:06:26] LOGIN_SUCCESS | user=user5 | ip=10.0.0.6 | 
[2026-07-21 14:07:29] LOGIN_SUCCESS | user=user6 | ip=10.0.0.7 | 
[2026-07-21 14:07:44] FAILED_LOGIN | user=user7 | ip=10.0.0.8 | 
[2026-07-21 14:07:53] LOGIN_SUCCESS | user=user7 | ip=10.0.0.8 | 
[2026-07-21 14:08:12] FAILED_LOGIN | user=user8 | ip=10.0.0.9 | 
[2026-07-21 14:08:22] LOGIN_SUCCESS | user=user8 | ip=10.0.0.9 | 
[2026-07-21 14:10:43] LOGIN_SUCCESS | user=suvo | ip=10.0.0.2 | 
[2026-07-21 14:10:55] LOGIN_SUCCESS | user=neel | ip=10.0.0.3 | 
[2026-07-21 14:11:09] LOGIN_SUCCESS | user=vishal | ip=10.0.0.4 | 
[2026-07-21 14:11:21] LOGIN_SUCCESS | user=rahul | ip=10.0.0.5 | 
[2026-07-21 14:11:38] LOGIN_SUCCESS | user=user5 | ip=10.0.0.6 | 
[2026-07-21 14:11:50] LOGIN_SUCCESS | user=user6 | ip=10.0.0.7 | 
[2026-07-21 14:12:01] LOGIN_SUCCESS | user=user7 | ip=10.0.0.8 | 
[2026-07-21 14:12:17] LOGIN_SUCCESS | user=user8 | ip=10.0.0.9 | 
[2026-07-21 14:12:32] LOGIN_SUCCESS | user=user9 | ip=10.0.0.10 | 
[2026-07-21 14:12:46] LOGIN_SUCCESS | user=user10 | ip=10.0.0.11 | 
[2026-07-21 15:17:01] LOGIN_SUCCESS | user=suvo | ip=10.0.0.2 | 
[2026-07-21 15:17:11] LOGIN_SUCCESS | user=neel | ip=10.0.0.3 | 
[2026-07-21 15:17:42] LOGIN_SUCCESS | user=vishal | ip=10.0.0.4 | 
[2026-07-21 15:18:09] LOGIN_SUCCESS | user=rahul | ip=10.0.0.5 | 
[2026-07-21 15:18:22] LOGIN_SUCCESS | user=user5 | ip=10.0.0.6 | 
[2026-07-21 15:19:38] CLIENT_REMOVED | user=suvo | ip=10.0.0.2 | handler exit
[2026-07-21 15:20:05] CLIENT_REMOVED | user=rahul | ip=10.0.0.5 | handler exit
[2026-07-21 15:20:07] CLIENT_REMOVED | user=user5 | ip=10.0.0.6 | handler exit
[2026-07-21 15:23:01] LOGIN_SUCCESS | user=suvo | ip=10.0.0.2 | 
[2026-07-21 15:23:14] LOGIN_SUCCESS | user=neel | ip=10.0.0.3 | 
[2026-07-21 15:23:31] LOGIN_SUCCESS | user=vishal | ip=10.0.0.4 | 
[2026-07-21 15:23:43] LOGIN_SUCCESS | user=rahul | ip=10.0.0.5 | 
[2026-07-21 15:23:54] LOGIN_SUCCESS | user=user5 | ip=10.0.0.6 | 
[2026-07-21 15:24:18] LOGIN_SUCCESS | user=user6 | ip=10.0.0.7 | 
[2026-07-21 15:24:34] FAILED_LOGIN | user=user7 | ip=10.0.0.8 | 
[2026-07-21 15:24:44] LOGIN_SUCCESS | user=user7 | ip=10.0.0.8 | 
[2026-07-21 15:25:00] LOGIN_SUCCESS | user=user8 | ip=10.0.0.9 | 
[2026-07-21 15:26:00] CLIENT_REMOVED | user=rahul | ip=10.0.0.5 | handler exit
[2026-07-21 15:26:23] CLIENT_REMOVED | user=suvo | ip=10.0.0.2 | handler exit
[2026-07-21 15:27:42] LOGIN_SUCCESS | user=suvo | ip=10.0.0.2 | 
[2026-07-21 15:27:54] LOGIN_SUCCESS | user=neel | ip=10.0.0.3 | 
[2026-07-21 15:28:07] LOGIN_SUCCESS | user=rahul | ip=10.0.0.4 | 
